"Group.1"	"Sample"	"value"	"SampleID"	"Genotype"	"Germplasm"	"Treatment"	"Compartment"	"Block"	"Plot"
"5.21"	"Clostridia"	"CK_R10_2"	0.018123393	"CK_R10_2"	"X10"	"Landrace"	"CK"	"Root"	2	"P05"
"5.22"	"Bryobacterales"	"CK_R10_2"	0.035432734	"CK_R10_2"	"X10"	"Landrace"	"CK"	"Root"	2	"P05"
"5.23"	"Vicinamibacterales"	"CK_R10_2"	0.024078835	"CK_R10_2"	"X10"	"Landrace"	"CK"	"Root"	2	"P05"
"5.24"	"Bacillales"	"CK_R10_2"	0.030891174	"CK_R10_2"	"X10"	"Landrace"	"CK"	"Root"	2	"P05"
"5.25"	"Gaiellales"	"CK_R10_2"	0.078491859	"CK_R10_2"	"X10"	"Landrace"	"CK"	"Root"	2	"P05"
"5.26"	"Rhizobiales"	"CK_R10_2"	0.131319623	"CK_R10_2"	"X10"	"Landrace"	"CK"	"Root"	2	"P05"
"5.27"	"Burkholderiales"	"CK_R10_2"	0.144858612	"CK_R10_2"	"X10"	"Landrace"	"CK"	"Root"	2	"P05"
"5.28"	"Pyrinomonadales"	"CK_R10_2"	0.3281491	"CK_R10_2"	"X10"	"Landrace"	"CK"	"Root"	2	"P05"
"6"	"<0.5%"	"CK_R10_3"	0.019475109	"CK_R10_3"	"X10"	"Landrace"	"CK"	"Root"	3	"P05"
"6.1"	"Chthoniobacterales"	"CK_R10_3"	0.001944039	"CK_R10_3"	"X10"	"Landrace"	"CK"	"Root"	3	"P05"
"6.2"	"Dongiales"	"CK_R10_3"	0.003124349	"CK_R10_3"	"X10"	"Landrace"	"CK"	"Root"	3	"P05"
"6.3"	"Steroidobacterales"	"CK_R10_3"	0.004894814	"CK_R10_3"	"X10"	"Landrace"	"CK"	"Root"	3	"P05"
"6.4"	"Paenibacillales"	"CK_R10_3"	0.010032632	"CK_R10_3"	"X10"	"Landrace"	"CK"	"Root"	3	"P05"
"6.5"	"Solirubrobacterales"	"CK_R10_3"	0.004026939	"CK_R10_3"	"X10"	"Landrace"	"CK"	"Root"	3	"P05"
"6.6"	"Xanthomonadales"	"CK_R10_3"	0.00034715	"CK_R10_3"	"X10"	"Landrace"	"CK"	"Root"	3	"P05"
"6.7"	"Propionibacteriales"	"CK_R10_3"	0.014129001	"CK_R10_3"	"X10"	"Landrace"	"CK"	"Root"	3	"P05"
"6.8"	"Pseudomonadales"	"CK_R10_3"	0.002568909	"CK_R10_3"	"X10"	"Landrace"	"CK"	"Root"	3	"P05"
"6.9"	"Chloroflexales"	"CK_R10_3"	0.009407762	"CK_R10_3"	"X10"	"Landrace"	"CK"	"Root"	3	"P05"
"6.10"	"Frankiales"	"CK_R10_3"	0.017704645	"CK_R10_3"	"X10"	"Landrace"	"CK"	"Root"	3	"P05"
"6.11"	"Polyangiales"	"CK_R10_3"	0.008401028	"CK_R10_3"	"X10"	"Landrace"	"CK"	"Root"	3	"P05"
"6.12"	"Corynebacteriales"	"CK_R10_3"	0.005658543	"CK_R10_3"	"X10"	"Landrace"	"CK"	"Root"	3	"P05"
"6.13"	"Gammaproteobacteria_Incertae_Sedis"	"CK_R10_3"	0.005866833	"CK_R10_3"	"X10"	"Landrace"	"CK"	"Root"	3	"P05"
"6.14"	"KD4-96"	"CK_R10_3"	0.014684441	"CK_R10_3"	"X10"	"Landrace"	"CK"	"Root"	3	"P05"
"6.15"	"Pseudonocardiales"	"CK_R10_3"	0.004547664	"CK_R10_3"	"X10"	"Landrace"	"CK"	"Root"	3	"P05"
"6.16"	"Microtrichales"	"CK_R10_3"	0.006352843	"CK_R10_3"	"X10"	"Landrace"	"CK"	"Root"	3	"P05"
"6.17"	"Micrococcales"	"CK_R10_3"	0.009060612	"CK_R10_3"	"X10"	"Landrace"	"CK"	"Root"	3	"P05"
"6.18"	"Chitinophagales"	"CK_R10_3"	0.019440394	"CK_R10_3"	"X10"	"Landrace"	"CK"	"Root"	3	"P05"
"6.19"	"Gemmatimonadales"	"CK_R10_3"	0.022738318	"CK_R10_3"	"X10"	"Landrace"	"CK"	"Root"	3	"P05"
"6.20"	"Sphingomonadales"	"CK_R10_3"	0.0169062	"CK_R10_3"	"X10"	"Landrace"	"CK"	"Root"	3	"P05"
