SampleID	Genotype	Germplasm	Treatment	Compartment	Block	Plot
CK_R98_1	X98	Inbred_line	CK	Root	1	P05
CK_R98_2	X98	Inbred_line	CK	Root	2	P05
CK_R98_3	X98	Inbred_line	CK	Root	3	P05
CK_R99_1	X99	Inbred_line	CK	Root	1	P11
CK_R99_2	X99	Inbred_line	CK	Root	2	P11
CK_R99_3	X99	Inbred_line	CK	Root	3	P11
D_R1_1	X1	Landrace	D	Root	1	P01
D_R1_2	X1	Landrace	D	Root	2	P01
D_R1_3	X1	Landrace	D	Root	3	P01
D_R10_1	X10	Landrace	D	Root	1	P10
D_R10_2	X10	Landrace	D	Root	2	P10
D_R10_3	X10	Landrace	D	Root	3	P10
D_R100_1	X100	Inbred_line	D	Root	1	P01
D_R100_2	X100	Inbred_line	D	Root	2	P01
D_R100_3	X100	Inbred_line	D	Root	3	P01
D_R101_1	X101	Inbred_line	D	Root	1	P04
D_R101_2	X101	Inbred_line	D	Root	2	P04
D_R101_3	X101	Inbred_line	D	Root	3	P04
D_R102_1	X102	Inbred_line	D	Root	1	P04
D_R102_2	X102	Inbred_line	D	Root	2	P04
D_R102_3	X102	Inbred_line	D	Root	3	P04
D_R103_1	X103	Inbred_line	D	Root	1	P15
D_R103_2	X103	Inbred_line	D	Root	2	P15
D_R103_3	X103	Inbred_line	D	Root	3	P15
D_R104_1	X104	Inbred_line	D	Root	1	P04
D_R104_2	X104	Inbred_line	D	Root	2	P04
D_R104_3	X104	Inbred_line	D	Root	3	P04
D_R105_1	X105	Inbred_line	D	Root	1	P10
D_R105_2	X105	Inbred_line	D	Root	2	P10
D_R105_3	X105	Inbred_line	D	Root	3	P10
D_R106_1	X106	Inbred_line	D	Root	1	P10
D_R106_2	X106	Inbred_line	D	Root	2	P10
D_R106_3	X106	Inbred_line	D	Root	3	P10
D_R107_1	X107	Inbred_line	D	Root	1	P15
D_R107_2	X107	Inbred_line	D	Root	2	P15
D_R107_3	X107	Inbred_line	D	Root	3	P15
D_R108_1	X108	Inbred_line	D	Root	1	P10
D_R108_2	X108	Inbred_line	D	Root	2	P10
D_R108_3	X108	Inbred_line	D	Root	3	P10
D_R109_1	X109	Hybrid	D	Root	1	P15
D_R109_2	X109	Hybrid	D	Root	2	P15
D_R109_3	X109	Hybrid	D	Root	3	P15
D_R11_1	X11	Landrace	D	Root	1	P10
D_R11_2	X11	Landrace	D	Root	2	P10
D_R11_3	X11	Landrace	D	Root	3	P10
