"Group.1"	"Sample"	"value"	"SampleID"	"Genotype"	"Microhabitat"	"Description"	"Library"
"29.12"	"Micropepsales"	"JH15.113"	0.025188679	"JH15.113"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"29.13"	"Gaiellales"	"JH15.113"	0.014528302	"JH15.113"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"29.14"	"Paenibacillales"	"JH15.113"	0.006698113	"JH15.113"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"29.15"	"Pedosphaerales"	"JH15.113"	0.01745283	"JH15.113"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"29.16"	"Gemmatimonadales"	"JH15.113"	0.014622642	"JH15.113"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"29.17"	"Chthoniobacterales"	"JH15.113"	0.011509434	"JH15.113"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"29.18"	"Vicinamibacterales"	"JH15.113"	0.006698113	"JH15.113"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"29.19"	"Propionibacteriales"	"JH15.113"	0.058679245	"JH15.113"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"29.20"	"Micrococcales"	"JH15.113"	0.055754717	"JH15.113"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"29.21"	"Glycomycetales"	"JH15.113"	0.009339623	"JH15.113"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"29.22"	"Sphingobacteriales"	"JH15.113"	0.041792453	"JH15.113"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"29.23"	"Sphingomonadales"	"JH15.113"	0.050471698	"JH15.113"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"29.24"	"Chitinophagales"	"JH15.113"	0.038773585	"JH15.113"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"29.25"	"Streptomycetales"	"JH15.113"	0.042924528	"JH15.113"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"29.26"	"Xanthomonadales"	"JH15.113"	0.053490566	"JH15.113"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"29.27"	"Rhizobiales"	"JH15.113"	0.089528302	"JH15.113"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"29.28"	"Burkholderiales"	"JH15.113"	0.276509434	"JH15.113"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"20"	"<0.5%"	"JH15.115"	0.027169811	"JH15.115"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"20.1"	"Frankiales"	"JH15.115"	0.008584906	"JH15.115"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"20.2"	"Rokubacteriales"	"JH15.115"	9.43e-05	"JH15.115"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"20.3"	"Pyrinomonadales"	"JH15.115"	0.000660377	"JH15.115"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"20.4"	"Acidobacteriales"	"JH15.115"	0.010283019	"JH15.115"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"20.5"	"Subgroup_7"	"JH15.115"	0.000471698	"JH15.115"	"52"	"RHIZO"	"B124.HID2"	"JH15"
